INFO 2022-01-27 11:59:00,987 basehttp 10228 5728 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2022-01-27 11:59:01,012 basehttp 10228 6076 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3401
INFO 2022-01-27 11:59:01,012 basehttp 10228 5728 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 492
INFO 2022-01-27 11:59:01,014 basehttp 10228 9368 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2022-01-27 11:59:01,014 basehttp 10228 10568 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2022-01-27 11:59:01,015 basehttp 10228 10648 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2022-01-27 11:59:01,030 basehttp 10228 8340 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2022-01-27 11:59:01,041 basehttp 10228 6076 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2022-01-27 11:59:01,042 basehttp 10228 5728 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2022-01-27 11:59:01,167 basehttp 10228 5728 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
WARNING 2022-01-27 11:59:01,173 log 10228 6076 Not Found: /favicon.ico
WARNING 2022-01-27 11:59:01,174 basehttp 10228 6076 "GET /favicon.ico HTTP/1.1" 404 4527
INFO 2022-01-27 11:59:06,668 basehttp 10228 6076 "GET /admin/scholar/proposal/4/change/ HTTP/1.1" 200 14543
INFO 2022-01-27 11:59:06,706 basehttp 10228 5728 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2616
INFO 2022-01-27 11:59:06,707 basehttp 10228 6076 "GET /static/admin/css/base.css HTTP/1.1" 200 19513
INFO 2022-01-27 11:59:06,708 basehttp 10228 9368 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2022-01-27 11:59:06,710 basehttp 10228 8340 "GET /static/admin/css/forms.css HTTP/1.1" 200 8835
INFO 2022-01-27 11:59:06,714 basehttp 10228 10648 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2022-01-27 11:59:06,715 basehttp 10228 5728 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18545
